up_date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock
2019-12-31,8918.740234,8975.360352,8912.769531,8972.599609,2182800000,0,0,Nasdaq
2020-01-02,3244.669922,3258.139893,3235.530029,3257.850098,3458250000,0,0,S&P500
2020-01-02,28638.9707,28872.80078,28627.76953,28868.80078,251820000,0,0,Dow Jones
2020-01-02,9039.459961,9093.429688,9010.889648,9092.19043,2848370000,0,0,Nasdaq
2020-01-03,3226.360107,3246.149902,3222.340088,3234.850098,3461290000,0,0,S&P500
2020-01-03,28553.33008,28716.31055,28500.35938,28634.88086,239590000,0,0,Dow Jones
2020-01-03,8976.429688,9065.759766,8976.429688,9020.769531,2567400000,0,0,Nasdaq
2020-01-06,3217.550049,3246.840088,3214.639893,3246.280029,3674070000,0,0,S&P500
2020-01-06,28465.5,28708.01953,28418.63086,28703.38086,252760000,0,0,Dow Jones
2020-01-06,8943.5,9072.410156,8943.5,9071.469727,2788120000,0,0,Nasdaq
2020-01-07,3241.860107,3244.909912,3232.429932,3237.179932,3420380000,0,0,S&P500
2020-01-07,28639.17969,28685.5,28565.2793,28583.67969,258900000,0,0,Dow Jones
2020-01-07,9076.639648,9091.929688,9042.549805,9068.580078,2352850000,0,0,Nasdaq
2020-01-08,3238.590088,3267.070068,3236.669922,3253.050049,3720890000,0,0,S&P500
2020-01-08,28556.14063,28866.17969,28522.50977,28745.08984,291750000,0,0,Dow Jones
2020-01-08,9068.030273,9168.889648,9059.379883,9129.240234,2464090000,0,0,Nasdaq
2020-01-09,3266.030029,3275.580078,3263.669922,3274.699951,3638390000,0,0,S&P500
2020-01-09,28851.9707,28988.00977,28844.31055,28956.90039,275060000,0,0,Dow Jones
2020-01-09,9202.269531,9215.950195,9158.5,9203.429688,2534700000,0,0,Nasdaq
2020-01-10,3281.810059,3282.98999,3260.860107,3265.350098,3212970000,0,0,S&P500
2020-01-10,28977.51953,29009.07031,28789.09961,28823.76953,237830000,0,0,Dow Jones
2020-01-10,9232.950195,9235.200195,9164.660156,9178.860352,2378990000,0,0,Nasdaq
2020-01-13,3271.129883,3288.129883,3268.429932,3288.129883,3456380000,0,0,S&P500
2020-01-13,28869.00977,28909.91016,28819.42969,28907.05078,249830000,0,0,Dow Jones
2020-01-13,9213.719727,9274.490234,9193.05957,9273.929688,2530270000,0,0,Nasdaq
2020-01-14,3285.350098,3294.25,3277.189941,3283.149902,3665130000,0,0,S&P500
2020-01-14,28895.5,29054.16016,28872.26953,28939.66992,287440000,0,0,Dow Jones
2020-01-14,9270.610352,9298.330078,9226.490234,9251.330078,2542170000,0,0,Nasdaq
2020-01-15,3282.27002,3298.659912,3280.689941,3289.290039,3716840000,0,0,S&P500
2020-01-15,28901.80078,29127.58984,28897.34961,29030.2207,260270000,0,0,Dow Jones
2020-01-15,9253.759766,9298.820313,9231.139648,9258.700195,2435650000,0,0,Nasdaq
2020-01-16,3302.969971,3317.110107,3302.820068,3316.810059,3535080000,0,0,S&P500
2020-01-16,29131.94922,29300.32031,29131.94922,29297.64063,252110000,0,0,Dow Jones
2020-01-16,9313.450195,9357.919922,9301.320313,9357.129883,2301400000,0,0,Nasdaq
2020-01-17,3323.659912,3329.879883,3318.860107,3329.620117,3698170000,0,0,S&P500
2020-01-17,29313.31055,29373.61914,29289.91016,29348.09961,321820000,0,0,Dow Jones
2020-01-17,9392.370117,9393.480469,9346.80957,9388.94043,2522670000,0,0,Nasdaq
2020-01-21,3321.030029,3329.790039,3316.610107,3320.790039,4105340000,0,0,S&P500
2020-01-21,29269.05078,29341.21094,29146.4707,29196.03906,320640000,0,0,Dow Jones
2020-01-21,9361.070313,9397.580078,9350.200195,9370.80957,2684540000,0,0,Nasdaq
2020-01-22,3330.02002,3337.77002,3320.040039,3321.75,3619850000,0,0,S&P500
2020-01-22,29263.63086,29320.19922,29172.25977,29186.26953,283440000,0,0,Dow Jones
2020-01-22,9413.610352,9439.290039,9375.129883,9383.769531,2449390000,0,0,Nasdaq
2020-01-23,3315.77002,3326.879883,3301.870117,3325.540039,3764860000,0,0,S&P500
2020-01-23,29111.01953,29190.4707,28966.98047,29160.08984,307060000,0,0,Dow Jones
2020-01-23,9377.719727,9409.200195,9334.129883,9402.480469,2460050000,0,0,Nasdaq
2020-01-24,3333.100098,3333.179932,3281.530029,3295.469971,3707130000,0,0,S&P500
2020-01-24,29230.39063,29288.78906,28843.31055,28989.73047,380010000,0,0,Dow Jones
2020-01-24,9446.209961,9451.429688,9273.230469,9314.910156,2611710000,0,0,Nasdaq
